Main SDG,Target Number,Target,Shortened Target,Target Information,Indicator,Indicator Information
Clean Water and Sanitation,6.4.,"By 2030, significantly improve water-use efficiency across all sectors, ensuring sustainable withdrawals and supply of freshwater to tackle water scarcity and substantially reduce the number of people affected by it.","By 2030, enhance water-use efficiency, ensure sustainable freshwater supply, and reduce water scarcity's impact on people.",,6.4.1. Change in water-use efficiency over time,
Clean Water and Sanitation,6.4.,"By 2030, significantly improve water-use efficiency across all sectors, ensuring sustainable withdrawals and supply of freshwater to tackle water scarcity and substantially reduce the number of people affected by it.","By 2030, enhance water-use efficiency, ensure sustainable freshwater supply, and reduce water scarcity's impact on people.",,6.4.2. Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,
Clean Water and Sanitation,6.5.,"By 2030, implement integrated water resources management at all levels, including cooperation across borders when relevant and necessary.","By 2030, implement integrated water resources management, including cross-border cooperation when necessary.",,6.5.1. Degree of integrated water resources management ,
Clean Water and Sanitation,6.5.,"By 2030, implement integrated water resources management at all levels, including cooperation across borders when relevant and necessary.","By 2030, implement integrated water resources management, including cross-border cooperation when necessary.",,6.5.2. Proportion of transboundary basin area with an operational arrangement for water cooperation,
Clean Water and Sanitation,6.6.,"By the year 2020, protect and restore water-related ecosystems such as mountains, forests, wetlands, rivers, aquifers, and lakes.",Protect and restore water-related ecosystems by 2020.,,6.6.1. Change in the extent of water-related ecosystems over time,
Clean Water and Sanitation,6.a.,"By 2030, provide increased international cooperation and capacity-building support to developing nations in water and sanitation-related activities and programs, including technologies for water harvesting, desalination, water efficiency, wastewater treatment, and recycling and reuse.","By 2030, support developing nations in water and sanitation programs, including technology advancements and capacity-building.",,6.a.1. Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,
Clean Water and Sanitation,6.b.,Foster and strengthen the engagement of local communities in enhancing water and sanitation management efforts.,Empower local communities for better water and sanitation management.,,6.b.1. Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,
Affordable and Clean Energy,7.1.,"Ensure that affordable, reliable, and modern energy services are universally accessible by the year 2030.",Ensure universal access to energy services.,,"7.1.1. Proportion of population with access to electricity
",
Affordable and Clean Energy,7.1.,"Ensure that affordable, reliable, and modern energy services are universally accessible by the year 2030.",Ensure universal access to energy services.,,7.1.2. Proportion of population with primary reliance on clean fuels and technology,
Affordable and Clean Energy,7.2.,Substantially increase the proportion of renewable energy in the global energy mix by 2030.,Significantly boost the share of renewable energy in the global energy mix by 2030.,,7.2.1. Renewable energy share in the total final energy consumption,
Affordable and Clean Energy,7.3.,Achieve a twofold acceleration in global energy efficiency improvement by 2030.,Double the pace of global energy efficiency improvement by 2030.,,7.3.1. Energy intensity measured in terms of primary energy and GDP,
Affordable and Clean Energy,7.a.,"By 2030, foster international cooperation to facilitate access to research and technology for clean energy, including renewable energy, energy efficiency, and advanced and cleaner fossil-fuel technology. Additionally, encourage investments in energy infrastructure and clean energy technologies.","By 2030, promote international cooperation for clean energy research, technology access, and infrastructure investments.",,"7.a.1. International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",
Affordable and Clean Energy,7.b.,"By 2030, enhance infrastructure and update technology to provide modern and sustainable energy services for all, particularly in developing countries, including least developed countries, small island developing States, and land-locked developing countries, in line with their respective support programs.","By 2030, improve energy infrastructure and technology in developing nations and least developed countries.",,7.b.1. Installed renewable energy-generating capacity in developing countries (in watts per capita),
Decent Work and Economic Growth,8.1.,"Foster sustained per capita economic growth tailored to national circumstances, with a particular focus on achieving at least 7 percent annual gross domestic product growth in the least developed countries.",Promote sustained economic growth for all.,,8.1.1. Annual growth rate of real GDP per capita,
Decent Work and Economic Growth,8.2.,"Attain higher levels of economic productivity by promoting diversification, technological advancement, and innovation, with an emphasis on high-value added and labor-intensive sectors.","Attain higher levels of economic productivity by promoting diversification, technological advancement, and innovation, with an emphasis on high-value added and labor-intensive sectors.",,8.2.1. Annual growth rate of real GDP per employed person,
Decent Work and Economic Growth,8.3.,"Advocate for development-oriented policies that support productive activities, create decent jobs, foster entrepreneurship, creativity, and innovation, and facilitate the formalization and expansion of micro-, small-, and medium-sized enterprises, including access to financial services.","Promote policies for job creation, entrepreneurship, and financial inclusion to empower small enterprises.",,"8.3.1. Proportion of informal employment in total employment, by sector and sex",
Decent Work and Economic Growth,8.4.,"Make progressive improvements in global resource efficiency in consumption and production through 2030, striving to decouple economic growth from environmental degradation. Developed countries should take the lead in line with the 10-year framework of programs on sustainable consumption and production.","Improve global resource efficiency and decouple economic growth from environmental degradation by 2030, led by developed countries.",,"8.4.1. Material footprint, material footprint per capita, and material footprint per GDP",
Decent Work and Economic Growth,8.4.,"Make progressive improvements in global resource efficiency in consumption and production through 2030, striving to decouple economic growth from environmental degradation. Developed countries should take the lead in line with the 10-year framework of programs on sustainable consumption and production.","Improve global resource efficiency and decouple economic growth from environmental degradation by 2030, led by developed countries.",,"8.4.2. Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",
Decent Work and Economic Growth,8.5.,"Achieve full and productive employment and decent work for all individuals by 2030, including women, men, young people, and persons with disabilities, ensuring equal pay for work of equal value.","Ensure full and decent employment for all, including women and persons with disabilities, with equal pay for equal work by 2030.",,"8.5.1. Average hourly earnings of female and male employees, by occupation, age and persons with disabilities",
Decent Work and Economic Growth,8.5.,"Achieve full and productive employment and decent work for all individuals by 2030, including women, men, young people, and persons with disabilities, ensuring equal pay for work of equal value.","Ensure full and decent employment for all, including women and persons with disabilities, with equal pay for equal work by 2030.",,"8.5.2. Unemployment rate, by sex, age and persons with disabilities",
Decent Work and Economic Growth,8.6.,"By 2020, significantly reduce the proportion of young people not engaged in employment, education, or training.","By 2020, reduce youth disengagement from education, employment, or training.",,"8.6.1. Proportion of youth (aged 15-24 years) not in education, employment or training",
Decent Work and Economic Growth,8.7.,"Take immediate and effective actions to eradicate forced labor, modern slavery, and human trafficking, and work towards prohibiting and eliminating the worst forms of child labor, including the recruitment and use of child soldiers. Aim to end all forms of child labor by 2025.","Take immediate action to end forced labor, slavery, trafficking, and the worst forms of child labor, aiming to eradicate all child labor by 2025.",,"8.7.1. Proportion and number of children aged 5‑17 years engaged in child labour, by sex and age",
Decent Work and Economic Growth,8.8.,"Safeguard labor rights and foster safe and secure working environments for all workers, including migrant workers, particularly women migrants, and those in precarious employment.","Ensure safe and secure working environments for all workers, including migrants and those in precarious employmen",,"8.8.1. Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",
Decent Work and Economic Growth,8.8.,"Safeguard labor rights and foster safe and secure working environments for all workers, including migrant workers, particularly women migrants, and those in precarious employment.","Ensure safe and secure working environments for all workers, including migrants and those in precarious employmen",,"8.8.2. Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status",
Decent Work and Economic Growth,8.9.,Develop and implement policies by 2030 to promote sustainable tourism that generates employment opportunities and supports local culture and products.,Promote sustainable tourism policies by 2030 to boost employment and preserve local culture and products.,,"8.9.1. Tourism direct GDP as a proportion of total GDP and in growth rate
",
Decent Work and Economic Growth,8.10.,"Strengthen the capacity of domestic financial institutions to expand access to banking, insurance, and financial services for all individuals.","Strengthen the capacity of domestic financial institutions to expand access to banking, insurance, and financial services for all individuals.",,"8.10.1. (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",
Decent Work and Economic Growth,8.10.,"Strengthen the capacity of domestic financial institutions to expand access to banking, insurance, and financial services for all individuals.","Strengthen the capacity of domestic financial institutions to expand access to banking, insurance, and financial services for all individuals.",,8.10.2. Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,
Decent Work and Economic Growth,8.a.,"Increase Aid for Trade support for developing countries, particularly least developed countries, including through the Enhanced Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries.","Boost Aid for Trade support, especially for developing countries, including Least Developed Countries.",,8.a.1. Aid for Trade commitments and disbursements,
Decent Work and Economic Growth,8.b.,"By 2020, establish and operationalize a global strategy for youth employment and implement the Global Jobs Pact of the International Labour Organization.","By 2020, implement a global strategy for youth employment and the Global Jobs Pact of the International Labour Organization.",,"8.b.1. Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",
"Industry, Innovation and Infrastructure",9.1.,"Create high-quality, reliable, sustainable, and resilient infrastructure, including regional and transborder projects, to foster economic development and well-being, with a primary focus on ensuring affordable and equitable access for all.",Develop sustainable and resilient infrastructure for equitable access and economic growth.,,9.1.1. Proportion of the rural population who live within 2 km of an all-season road,
"Industry, Innovation and Infrastructure",9.1.,"Create high-quality, reliable, sustainable, and resilient infrastructure, including regional and transborder projects, to foster economic development and well-being, with a primary focus on ensuring affordable and equitable access for all.",Develop sustainable and resilient infrastructure for equitable access and economic growth.,,"9.1.2. Passenger and freight volumes, by mode of transport",
"Industry, Innovation and Infrastructure",9.2.,"Foster inclusive and sustainable industrialization, aiming to substantially increase industry's share of employment and gross domestic product by 2030, aligning with national contexts, and doubling its share in least developed countries.","Promote inclusive and sustainable industrialization, doubling its share in least developed countries by 2030.",,9.2.1. Manufacturing value added as a proportion of GDP and per capita,
"Industry, Innovation and Infrastructure",9.2.,"Foster inclusive and sustainable industrialization, aiming to substantially increase industry's share of employment and gross domestic product by 2030, aligning with national contexts, and doubling its share in least developed countries.","Promote inclusive and sustainable industrialization, doubling its share in least developed countries by 2030.",,9.2.2. Manufacturing employment as a proportion of total employment,
"Industry, Innovation and Infrastructure",9.3.,"Improve the access of small-scale industrial and other enterprises, particularly in developing countries, to financial services, including affordable credit, and integrate them into value chains and markets.",Improve access to financial services for small-scale enterprises in developing countries.,,"9.3.1. Proportion of small-scale industries in total industry value added

",
"Industry, Innovation and Infrastructure",9.3.,"Improve the access of small-scale industrial and other enterprises, particularly in developing countries, to financial services, including affordable credit, and integrate them into value chains and markets.",Improve access to financial services for small-scale enterprises in developing countries.,,9.3.2. Proportion of small-scale industries with a loan or line of credit,
"Industry, Innovation and Infrastructure",9.4.,"By 2030, modernize infrastructure and upgrade industries to make them sustainable, prioritizing increased resource-use efficiency and the adoption of clean and environmentally friendly technologies and industrial processes. All countries should take action according to their respective capabilities.","By 2030, modernize industries and infrastructure for sustainability and resource efficiency, tailored to each country's capabilities.",,9.4.1. CO2 emission per unit of value added,
"Industry, Innovation and Infrastructure",9.5.,"Enhance scientific research and improve the technological capabilities of industrial sectors in all countries, especially in developing nations, by encouraging innovation and significantly increasing the number of research and development workers per 1 million people, as well as both public and private research and development spending by 2030.","By 2030, enhance research and innovation, especially in developing countries, through increased workforce and funding for R&D.",,9.5.1. Research and development expenditure as a proportion of GDP,
"Industry, Innovation and Infrastructure",9.5.,"Enhance scientific research and improve the technological capabilities of industrial sectors in all countries, especially in developing nations, by encouraging innovation and significantly increasing the number of research and development workers per 1 million people, as well as both public and private research and development spending by 2030.","By 2030, enhance research and innovation, especially in developing countries, through increased workforce and funding for R&D.",,9.5.2. Researchers (in full-time equivalent) per million inhabitants,
"Industry, Innovation and Infrastructure",9.a.,"Support the development of sustainable and resilient infrastructure in developing countries through increased financial, technological, and technical assistance to African nations, least developed countries, landlocked developing countries, and small island developing States.","By 2030, support sustainable infrastructure in developing countries through increased assistance to specific regions and nations.",,9.a.1. Total official international support (official development assistance plus other official flows) to infrastructure,
"Industry, Innovation and Infrastructure",9.b.,"Foster domestic technology development, research, and innovation in developing countries by creating a conducive policy environment that encourages industrial diversification and adds value to commodities.",Encourage innovation and diversification through favorable policies for domestic technology development in developing countries.,,9.b.1. Proportion of medium and high-tech industry value added in total value added,
"Industry, Innovation and Infrastructure",9.c.,Drastically expand access to information and communications technology and strive to achieve universal and affordable Internet access in least developed countries by the year 2020.,Expand ICT access and achieve affordable Internet availability for least developed countries by 2020.,,"9.c.1. Proportion of population covered by a mobile network, by technology",
Reduced Inequalities,10.1.,"By 2030, progressively achieve and maintain income growth for the bottom 40 percent of the population at a rate higher than the national average.",Ensure income growth for the bottom 40%.,,10.1.1. Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,
Reduced Inequalities,10.2.,"By 2030, promote the inclusion of all individuals in social, economic, and political spheres, regardless of age, gender, disability, race, ethnicity, origin, religion, or economic status.",Promote inclusive participation for all individuals by 2030.,,"10.2.1. Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",
Reduced Inequalities,10.3.,"Ensure equal opportunities and reduce disparities in outcomes, including by eliminating discriminatory laws, policies, and practices and promoting appropriate legislation, policies, and actions.",Ensure equal opportunities and reduce disparities by eliminating discrimination and promoting appropriate actions.,,10.3.1. Proportion of population reporting having personally felt discriminated against or harassed within the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,
Reduced Inequalities,10.4.,"Implement policies, particularly fiscal, wage, and social protection policies, with the goal of progressively achieving greater equality.","Implement progressive policies, including fiscal, wage, and social protection, to achieve greater equality.",,10.4.1. Labour share of GDP,
Reduced Inequalities,10.4.,"Implement policies, particularly fiscal, wage, and social protection policies, with the goal of progressively achieving greater equality.","Implement progressive policies, including fiscal, wage, and social protection, to achieve greater equality.",,10.4.2. Redistributive impact of fiscal policy,
Reduced Inequalities,10.5.,Enhance the regulation and oversight of global financial markets and institutions and strengthen the enforcement of such regulations.,Strengthen global financial market oversight and enforcement.,,10.5.1. Financial Soundness Indicators,
Reduced Inequalities,10.6.,"Increase the representation and voice of developing countries in decision-making within global international economic and financial institutions to enhance the effectiveness, credibility, accountability, and legitimacy of these institutions.",Boost developing countries' representation and voice in global financial institutions for improved effectiveness and accountability.,,10.6.1. Proportion of members and voting rights of developing countries in international organizations,
Reduced Inequalities,10.7.,"Facilitate well-planned, safe, regular, and responsible migration and mobility of people through the implementation of managed migration policies.",Implement managed migration policies for safe and responsible mobility of people.,,10.7.1. Recruitment cost borne by employee as a proportion of montlhy income earned in country of destination,
Reduced Inequalities,10.7.,"Facilitate well-planned, safe, regular, and responsible migration and mobility of people through the implementation of managed migration policies.",Implement managed migration policies for safe and responsible mobility of people.,,"10.7.2. Number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",
Reduced Inequalities,10.7.,"Facilitate well-planned, safe, regular, and responsible migration and mobility of people through the implementation of managed migration policies.",Implement managed migration policies for safe and responsible mobility of people.,,10.7.3. Number of people who died or disappeared in the process of migration towards an international destination,
Reduced Inequalities,10.7.,"Facilitate well-planned, safe, regular, and responsible migration and mobility of people through the implementation of managed migration policies.",Implement managed migration policies for safe and responsible mobility of people.,,"10.7.4. Proportion of the population who are refugees, by country of origin",
Reduced Inequalities,10.a.,"Apply the principle of special and differential treatment for developing countries, particularly least developed countries, in accordance with World Trade Organization agreements.","Apply special and differential treatment for developing countries, especially least developed nations, as per WTO agreements.",,10.a.1. Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,
Reduced Inequalities,10.b.,"Promote official development assistance and financial flows, including foreign direct investment, to countries where the need is most significant, especially least developed countries, African nations, small island developing States, and landlocked developing countries, in alignment with their national plans and programs.","Support development assistance and financial flows to needy countries, aligning with their national plans.",,"10.b.1. Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",
Reduced Inequalities,10.c.,"By 2030, reduce the transaction costs of migrant remittances to less than 3 percent and eliminate remittance corridors with costs higher than 5 percent.","By 2030, aim to reduce migrant remittance transaction costs below 3% and eliminate corridors with costs exceeding 5%.",,10.c.1 Remittance costs as a proportion of the amount remitted,
Sustainable Cities and Communities,11.1.,"By the year 2030, ensure that everyone has access to suitable, secure, and affordable housing, along with essential services, and work towards upgrading slums.","By 2030, ensure universal access to suitable, secure, and affordable housing, along with essential services, and improve slum areas.",,"11.1.1. Proportion of urban population living in slums, informal settlements or inadequate housing",
Sustainable Cities and Communities,11.2.,"By 2030, establish safe, affordable, accessible, and sustainable transport systems for all, with a special focus on expanding public transport to enhance road safety, particularly considering the needs of vulnerable groups such as women, children, persons with disabilities, and older individuals.","By 2030, ensure safe and affordable transport, with a focus on expanding public options for vulnerable groups' road safety.",,"11.2.1. Proportion of urban population living in slums, informal settlements or inadequate housing",
Sustainable Cities and Communities,11.3.,"By 2030, promote inclusive and sustainable urbanization, fostering participatory, integrated, and sustainable planning and management of human settlements in all countries.","By 2030, foster inclusive and sustainable urbanization globally through integrated human settlement planning.",,11.3.1. Ratio of land consumption rate to population growth rate,
Sustainable Cities and Communities,11.3.,"By 2030, promote inclusive and sustainable urbanization, fostering participatory, integrated, and sustainable planning and management of human settlements in all countries.","By 2030, foster inclusive and sustainable urbanization globally through integrated human settlement planning.",,11.3.2. Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,
Sustainable Cities and Communities,11.4.,Strengthen efforts to protect and preserve the world's cultural and natural heritage.,Enhance efforts to safeguard the world's cultural and natural heritage.,,"11.4.1. Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",
Sustainable Cities and Communities,11.5.,"By 2030, significantly reduce the number of deaths and the impact on people, as well as substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, particularly water-related disasters. Emphasis will be placed on safeguarding the well-being of the poor and vulnerable populations.","By 2030, reduce disaster impacts and losses, with a focus on vulnerable populations and water-related disasters.",,"11.5.1. Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",
Sustainable Cities and Communities,11.5.,"By 2030, significantly reduce the number of deaths and the impact on people, as well as substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, particularly water-related disasters. Emphasis will be placed on safeguarding the well-being of the poor and vulnerable populations.","By 2030, reduce disaster impacts and losses, with a focus on vulnerable populations and water-related disasters.",,11.5.2. Direct economic loss attributed to disasters in relation to global domestic product (GDP),
Sustainable Cities and Communities,11.5.,"By 2030, significantly reduce the number of deaths and the impact on people, as well as substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, particularly water-related disasters. Emphasis will be placed on safeguarding the well-being of the poor and vulnerable populations.","By 2030, reduce disaster impacts and losses, with a focus on vulnerable populations and water-related disasters.",,"11.5.3. (a) Damage to critical infrastructure and (b) number of disruptions to basic services, attributed to disasters",
Sustainable Cities and Communities,11.6.," By 2030, decrease the per capita environmental impact of cities, with special attention to improving air quality and municipal waste management and other waste disposal practices.","By 2030, reduce cities' per capita environmental impact, with a focus on improving air quality and waste management practices.",,"11.6.1. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities",
Sustainable Cities and Communities,11.6.," By 2030, decrease the per capita environmental impact of cities, with special attention to improving air quality and municipal waste management and other waste disposal practices.","By 2030, reduce cities' per capita environmental impact, with a focus on improving air quality and waste management practices.",,11.6.2. Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),
Sustainable Cities and Communities,11.7.,"By 2030, ensure universal access to safe, inclusive, accessible, green, and public spaces, with particular consideration for women, children, older individuals, and persons with disabilities.","By 2030, ensure universal access to safe and inclusive public spaces, with special consideration for vulnerable groups.",,"11.7.1. Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",
Sustainable Cities and Communities,11.7.,"By 2030, ensure universal access to safe, inclusive, accessible, green, and public spaces, with particular consideration for women, children, older individuals, and persons with disabilities.","By 2030, ensure universal access to safe and inclusive public spaces, with special consideration for vulnerable groups.",,"11.7.2. Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",
Sustainable Cities and Communities,11.a.,"Strengthen national and regional development planning to foster positive economic, social, and environmental connections between urban, peri-urban, and rural areas.","Improve development planning to connect urban, peri-urban, and rural areas positively.",,11.a.1. Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,
Sustainable Cities and Communities,11.b.,"By 2020, significantly increase the number of cities and human settlements adopting and implementing integrated policies and plans aimed at inclusion, resource efficiency, climate change mitigation and adaptation, disaster resilience, and the development and implementation of holistic disaster risk management at all levels, aligned with the Sendai Framework for Disaster Risk Reduction 2015-2030.","By 2020, promote integrated policies for inclusive cities and sustainable practices (Sendai Framework).",,11.b.1. Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,
Sustainable Cities and Communities,11.b.,"By 2020, significantly increase the number of cities and human settlements adopting and implementing integrated policies and plans aimed at inclusion, resource efficiency, climate change mitigation and adaptation, disaster resilience, and the development and implementation of holistic disaster risk management at all levels, aligned with the Sendai Framework for Disaster Risk Reduction 2015-2030.","By 2020, promote integrated policies for inclusive cities and sustainable practices (Sendai Framework).",,11.b.2. Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,
Sustainable Cities and Communities,11.c.,Provide financial and technical assistance to least developed countries to construct sustainable and resilient buildings using locally-sourced materials.,Support least developed countries with financial and technical aid for constructing sustainable and resilient buildings using local materials.,,"11.c.1. Support least developed countries, including through financial and technical assistance, in building sustainable and resilient buildings utilizing local materials",
Responsible Consumption and Production,12.1.,"Enforce the 10-year framework of programs on sustainable consumption and production, with all countries taking action and developed nations leading the efforts, while considering the development and capabilities of developing countries.","Enforce the 10-year framework on sustainable consumption and production, led by developed nations.",,"12.1.1. Number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",
Responsible Consumption and Production,12.2.,"By 2030, achieve the sustainable management and efficient utilization of natural resources.","By 2030, attain sustainable and efficient natural resource management.",,"12.2.1. Material footprint, material footprint per capita, and material footprint per GDP",
Responsible Consumption and Production,12.2.,"By 2030, achieve the sustainable management and efficient utilization of natural resources.","By 2030, attain sustainable and efficient natural resource management.",,"12.2.2. Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",
Responsible Consumption and Production,12.3.,"By 2030, reduce per capita global food waste by half at the retail and consumer levels and decrease food losses along production and supply chains, including post-harvest losses.","By 2030, cut global food waste in half at retail and consumer levels, and decrease losses in production and supply chains.",,"12.3.1. Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",
Responsible Consumption and Production,12.4.,"By 2020, ensure the environmentally responsible management of chemicals and all types of waste throughout their life cycle, in accordance with agreed international frameworks, and significantly minimize their release to air, water, and soil to reduce adverse impacts on human health and the environment.","By 2020, responsibly manage chemicals and waste to protect human health and the environment.",,"12.4.1. Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",
Responsible Consumption and Production,12.4.,"By 2020, ensure the environmentally responsible management of chemicals and all types of waste throughout their life cycle, in accordance with agreed international frameworks, and significantly minimize their release to air, water, and soil to reduce adverse impacts on human health and the environment.","By 2020, responsibly manage chemicals and waste to protect human health and the environment.",,"12.4.2. (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",
Responsible Consumption and Production,12.5.,"By 2030, significantly decrease waste generation through prevention, reduction, recycling, and reuse.","By 2030, substantially reduce waste through prevention, reduction, recycling, and reuse.",,"12.5.1. National recycling rate, tons of material recycled",
Responsible Consumption and Production,12.6.,"Encourage companies, especially large and transnational corporations, to adopt sustainable practices and incorporate sustainability information into their reporting cycles.","Encourage companies, including large corporations, to adopt sustainability practices and report on sustainability information.",,12.6.1. Number of companies publishing sustainability reports,
Responsible Consumption and Production,12.7.,Promote sustainable public procurement practices in alignment with national policies and priorities.,Promote sustainable public procurement aligned with national policies and priorities.,,12.7.1. Number of companies publishing sustainability reports,
Responsible Consumption and Production,12.8.,"By 2030, ensure that people worldwide have access to relevant information and awareness about sustainable development and lifestyles in harmony with nature.","By 2030, ensure worldwide access to information for sustainable development and nature-friendly lifestyles.",,12.8.1. Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,
Responsible Consumption and Production,12.a.,Provide support to developing countries in enhancing their scientific and technological capabilities to transition towards more sustainable consumption and production patterns.,Support developing countries in advancing sustainable consumption and production through technology and science.,,12.a.1. Installed renewable energy-generating capacity in developing countries (in watts per capita),
Responsible Consumption and Production,12.b.,"Develop and implement tools for monitoring the impacts of sustainable development, particularly in sustainable tourism that generates employment and supports local culture and products.","Develop tools for monitoring sustainable tourism's impact on local culture, products, and employment.",,12.b.1. Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,
Responsible Consumption and Production,12.c.,"Streamline inefficient fossil-fuel subsidies that encourage wasteful consumption by addressing market distortions, taking national circumstances into account, and phasing out harmful subsidies, where present, considering their environmental impacts. This should be done while fully recognizing the specific needs and conditions of developing countries and minimizing potential adverse effects on their development, with a focus on safeguarding the well-being of the poor and affected communities.","Phase out harmful fossil-fuel subsidies, considering national circumstances and prioritizing vulnerable communities.",,12.c.1. Amount of fossil-fuel subsidies (production and consumption) per unit of GDP,
Climate Action,13.1.,Enhance the ability to cope with climate-related risks and natural disasters in all nations.,Strengthen climate resilience and disaster coping capacity worldwide.,,"13.1.1. Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",
Climate Action,13.1.,Enhance the ability to cope with climate-related risks and natural disasters in all nations.,Strengthen climate resilience and disaster coping capacity worldwide.,,13.1.2. Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,
Climate Action,13.1.,Enhance the ability to cope with climate-related risks and natural disasters in all nations.,Strengthen climate resilience and disaster coping capacity worldwide.,,13.1.3. Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,
Climate Action,13.2.,"Incorporate climate change measures into national policies, strategies, and planning.",Integrate climate change measures into national policies and planning.,,"13.2.1. Number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the United Nations Framework Convention on Climate Change",
Climate Action,13.2.,"Incorporate climate change measures into national policies, strategies, and planning.",Integrate climate change measures into national policies and planning.,,13.2.2. Total greenhouse gas emissions per year,
Climate Action,13.3.,"Enhance education, awareness, and human and institutional capabilities regarding climate change mitigation, adaptation, reducing impacts, and early warning systems.","Improve education, awareness, and capabilities for climate change mitigation, adaptation, and early warning.",,13.3.1. Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,
Climate Action,13.a.,"Fulfill the commitment made by developed countries under the United Nations Framework Convention on Climate Change to mobilize $100 billion annually by 2020 from all available sources to support the needs of developing countries in conjunction with meaningful mitigation efforts and transparent implementation. Additionally, fully operationalize the Green Climate Fund through its capitalization as soon as possible.",Meet the $100B annual commitment to support developing nations and fully operationalize the Green Climate Fund.,,13.a.1. Amounts provided and mobilized in United States dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,
Climate Action,13.b.,"Foster mechanisms to strengthen effective planning and management related to climate change in least developed countries and small island developing States, with a particular focus on empowering women, youth, and local and marginalized communities.","Promote climate planning, empower women, youth, and marginalized communities in vulnerable regions.",,"13.b.1. Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the United Nations Framework Convention on Climate Change",
Life Below Water,14.1.,"By 2025, prevent and substantially reduce various forms of marine pollution, particularly those originating from land-based activities, such as marine debris and nutrient pollution.","By 2025, significantly reduce marine pollution, including land-based sources like marine debris and nutrient pollution.",,14.1.1. (a) Index of coastal eutrophication; and (b) plastic debris density,
Life Below Water,14.2.,"By 2020, responsibly manage and safeguard marine and coastal ecosystems to avoid significant adverse impacts, enhance their resilience, and take measures to restore them for the purpose of achieving healthy and productive oceans.","By 2020, responsibly manage marine and coastal ecosystems, enhance resilience, and restore for healthy and productive oceans.",,14.2.1. (a) Index of coastal eutrophication; and (b) plastic debris density,
